MinimumReturn,Iteration,MaximumReturn,TotalSamples,AverageReturn
-369.48802741832566,,-282.243560337067,8000,-329.3150910516766
-71.23014785043986,1,-14.404417728141059,12000,-39.1713641489294
-244.30551044604275,2,499.3721148826895,16000,275.5578795966258
-493.4485464310408,3,871.0106069601977,20000,116.80416538903074
-497.5613603170694,4,1366.8636171646763,24000,307.82343761620245
-687.7732492833326,5,489.8661967599639,28000,-411.6717256981701
-463.9575949453738,6,1418.1100998269053,32000,319.44614999280446
-509.7153422018487,7,1695.7786137816934,36000,-28.68698385622247
-618.3552743695976,8,1107.4528900843893,40000,-151.95248990026542
-428.55619164829824,9,939.4137364086491,44000,215.14957196538822
-700.6298142650122,10,671.0192412269187,48000,-117.82292019599181
-949.0390038770794,11,1441.4342308561536,52000,90.58883694576086
-608.2103861422526,12,1732.3878180956433,56000,620.6561149205689
461.7219313413498,13,1685.5012115409872,60000,1337.7734870175218
-716.6953403785556,14,1710.363839266372,64000,37.811087309396726
-746.8949635902043,15,1584.2413713822102,68000,291.17800497203547
-692.6491892631209,16,1830.296584153443,72000,363.62376371505735
-715.57618001567,17,1774.4863376576504,76000,706.5070737667847
-959.167816814839,18,1882.8300195059062,80000,275.1146313225415
-749.9176343346234,19,1905.8331459005003,84000,452.6288394223675
-915.2220923491454,20,1883.4454608983233,88000,984.2797098439027
-573.9782732009616,21,2215.818161184855,92000,1035.7504772140019
-906.5722373415247,22,2080.2153014228,96000,1137.9170971712015
1623.2332090974166,23,1966.854512680348,100000,1837.1080590626705
-1005.9221292094912,24,2235.383523195856,104000,881.9508890340802
-809.3114164298397,25,2114.7289080164933,108000,1553.8736310604336
786.8428308478108,26,2383.547241182895,112000,1983.835618722774
2032.3678423031301,27,2519.2558542041697,116000,2221.16199829979
2082.097687823784,28,2361.4424798174778,120000,2242.545029154815
347.52156107580157,29,2163.890016008321,124000,1275.2284326934032
1286.5300791049078,30,2528.368963628592,128000,2095.2094002563226
-232.68992269401394,31,2388.718009105046,132000,1596.1446897672638
1978.640974872428,32,2396.7590325549377,136000,2225.8161400279546
