MinimumReturn,MaximumReturn,TotalSamples,Iteration,AverageReturn
-2300.0732996254014,-1681.937593323552,8000,,-1991.3262349591753
-1530.3261787419583,-559.5566996141869,12000,1,-1102.2198881667657
-1943.7253314660393,194.01533469004565,16000,2,-1047.9498080140702
-1384.4477011302329,154.50670939046188,20000,3,-519.0105279622561
-924.5253063697162,702.0618481097872,24000,4,-315.36729574851495
-787.81984887236,94.38199655567652,28000,5,-346.8472245228047
-1162.6085819286563,303.3528797101479,32000,6,-419.16376878719285
-2660.3138480926627,-1059.617968743784,36000,7,-1861.0469490937685
-1224.5695049022768,-21.42983727489087,40000,8,-700.4123473521173
-758.1940991156621,857.6627995480495,44000,9,-89.40237901957907
-686.575048958878,47.51168738626699,48000,10,-338.0547792196167
-2842.4500957755613,521.6137574915305,52000,11,-916.8197088164599
-960.4588272701687,809.1706007778954,56000,12,-33.43843173190694
-2946.267052264224,528.6354533151206,60000,13,-637.9325737347409
-2723.159381376966,-1560.2504789061772,64000,14,-2225.3937813882976
-3010.2915518924856,-2063.683696099102,68000,15,-2746.1707520003397
-528.0640125363676,1905.9203408093433,72000,16,334.8941045965642
-361.9185127794498,1500.806842588531,76000,17,602.3854507454151
-434.5751900861733,1715.6557764716852,80000,18,926.9107885583359
568.8689085687157,1740.4098093306754,84000,19,1119.0486049765216
147.54866496065227,1784.2390271465601,88000,20,1158.2430450043382
-202.09790814513246,2196.5181065442102,92000,21,1495.9717060595813
234.87812929902503,2020.5888597595147,96000,22,1208.6358633929062
-69.01316715095477,1663.5115798205923,100000,23,575.7860200676347
180.3527794666254,2136.6361157203846,104000,24,1060.0377805884218
1146.4443563934565,1413.1529830725915,108000,25,1257.49673012144
487.7568775685396,2096.0136675219205,112000,26,1599.4436897168737
-351.7932173065307,1662.0656726210104,116000,27,851.2756590298765
391.52095456614734,2264.3679320100873,120000,28,1224.4913500833445
965.9703730409584,1412.2692721376084,124000,29,1153.6024785634625
1016.0511364004299,2205.2270427411286,128000,30,1579.7636914576367
890.823879873568,2277.1726026117153,132000,31,1465.1166257337854
607.6663600222862,1279.9280868351275,136000,32,940.5975492634948
