TotalSamples,MinimumReturn,Iteration,MaximumReturn,AverageReturn
3332,-84.5332626989445,,-0.047804962080097164,-31.337525624469617
4998,-0.1559825683529274,1,-0.0450469657170981,-0.09447820191531864
6664,-0.0019827134615674324,2,-0.0012866047014701836,-0.0016353355142760962
8330,-60.49103588774419,3,-0.5327405124139624,-32.93485521566646
9996,-57.48269840282775,4,-29.32995296892642,-45.400879578909866
11662,-0.3441422281976194,5,-0.029221219438677636,-0.0661888075881783
13328,-0.1407423072067649,6,-0.02916344385928574,-0.051619512525475406
14994,-0.044945841003896994,7,-0.02473101582464473,-0.032880129810877706
16660,-0.01972029786159139,8,-0.011327295251991117,-0.01509775085460696
18326,-0.04539628262725931,9,-0.024165452717682737,-0.03304472353316713
19992,-35.72771441313221,10,-0.07368120162021366,-14.474153522425704
21658,-0.12362546261570752,11,-0.03698901082700757,-0.07179028913244082
23324,-109.19268097088847,12,-81.38362286758989,-100.21754821278039
24990,-85.8637513592905,13,-44.060749838835015,-64.67971643803524
26656,-13.29294292231722,14,-0.044667501443580226,-1.6340020098094685
28322,-0.0028586072465773206,15,-0.001754993345620196,-0.0022942399138490962
29988,-0.02154044894467097,16,-0.0007291329818184762,-0.0019690596320786936
31654,-0.06241918397003173,17,-0.003588117172261697,-0.0232273489736704
33320,-68.89028438559859,18,-0.10847580201375459,-34.07584846367066
34986,-30.123111496048818,19,-0.03306571569171032,-1.7237422778991707
36652,-67.02960363967271,20,-0.03351250652761694,-3.2732881681591794
38318,-72.41238385238226,21,-0.1343323650959391,-21.554155685724275
39984,-60.32370982280085,22,-0.07710699789440571,-16.488742551887245
41650,-0.018348431335228392,23,-0.004319645481568353,-0.006525610085824549
43316,-103.6829825472217,24,-0.0943398669244387,-52.42927259996499
44982,-39.91749979692421,25,-0.0012460773461869926,-5.377478340652808
46648,-20.278597369446018,26,-0.000871935518163613,-2.1862072416645937
48314,-40.160411391085866,27,-0.05162628375273288,-3.3047274133757956
49980,-52.46844374076019,28,-0.0024724384116996093,-13.507942363263787
51646,-65.72724089604638,29,-0.000980578295537505,-11.613405654944954
53312,-52.518278826147814,30,-0.0006895703107652679,-6.070617894887581
54978,-106.08937015811559,31,-46.39116384156895,-81.91873208897631
56644,-109.53432298087796,32,-0.0035446295849669,-49.05192671665511
58310,-106.97268752148013,33,-6.933307552289081,-70.68653072188027
59976,-91.90097907537705,34,-0.13919098546481917,-48.11529121534182
61642,-18.833109280502125,35,-0.0006875446189192226,-0.7801944795362122
63308,-74.25367628689057,36,-0.009427130678701308,-23.246330707568976
64974,-111.43660782768072,37,-0.0008566091074370372,-26.159713051360054
66640,-81.20886232989385,38,-0.0006137644458904667,-12.255948368044903
68306,-120.62875092055333,39,-0.0009391195159029169,-23.4193882975494
69972,-127.32651705928811,40,-0.0006833708187911913,-20.38399499634089
71638,-124.83443861232722,41,-0.0006901787855716655,-10.948434363866827
73304,-115.81030454265412,42,-0.001281291508125984,-29.30436282179248
74970,-114.08566132038692,43,-0.0007573110697682411,-13.138883698067927
76636,-133.28036986315894,44,-0.0007481929494604974,-18.73665617100328
78302,-151.58138332691618,45,-0.01386007871581337,-80.02618240649616
79968,-146.4157529786015,46,-0.0016153029924337666,-73.41167963177787
81634,-134.356075673117,47,-0.0011757441744395612,-26.329057485316554
83300,-140.5859374339082,48,-35.367872146784606,-106.99128964455704
84966,-100.20021197637641,49,-0.0006312207011624036,-17.665223498505966
86632,-112.15463322867257,50,-0.0007330714264524113,-27.88303991850673
88298,-153.09046268867132,51,-113.4527416626468,-137.19423197233212
89964,-144.7260648272763,52,-96.53508876852345,-123.58560914197984
91630,-108.39812176691058,53,-0.0010273485806137398,-32.10083040878549
93296,-65.73395440668773,54,-0.00068809352943456,-4.019493746826396
94962,-135.82407417411693,55,-0.14821508290854407,-79.81517353246927
96628,-129.8018230248397,56,-0.0006929114055869003,-28.883221413140742
98294,-143.13994563670656,57,-0.0010020181403776521,-46.17064431048012
99960,-161.16878325840608,58,-117.38219667112716,-143.70886396560437
101626,-168.36103528379886,59,-120.99685159832944,-149.75189235574678
103292,-143.5735773177063,60,-90.25711601484878,-122.02180587376247
104958,-126.87161618556691,61,-0.013590542753822089,-63.91587374774785
106624,-129.29375714381274,62,-70.16338103222911,-110.081956319217
108290,-125.07939696154753,63,-0.0007210312278297115,-16.360908250524073
109956,-166.32842079413712,64,-97.78214840043358,-144.10670518839387
111622,-163.5915419982153,65,-109.08919540435599,-143.33466453958627
113288,-170.0528006054411,66,-0.0007591455311028454,-30.296608365962147
114954,-140.11480582123394,67,-0.0006999787157387738,-15.707064343059352
116620,-105.01516674575505,68,-0.0007305031562943026,-15.387619366185895
118286,-128.35502249738582,69,-0.000739450266046798,-12.61499120501513
119952,-142.65962204332422,70,-0.0006789535032931684,-22.588584675092985
121618,-179.2518411524872,71,-146.1278898706109,-166.61402575564804
123284,-181.68413197282527,72,-110.40945206313754,-157.0612573317228
124950,-165.18822374765796,73,-0.0030349063390817783,-110.61731442371938
126616,-168.4873475741978,74,-116.73906420232672,-145.49697160181032
128282,-157.75777383321875,75,-89.88133584495075,-138.24175153231374
129948,-165.59112662736064,76,-0.7575381749709322,-117.64406252468213
131614,-167.5584454167432,77,-0.002108614908416799,-114.72015776001072
133280,-179.57320102963857,78,-134.694217005697,-160.05059441646478
134946,-180.74914642323094,79,-115.91848731517095,-159.81970618650956
