Iteration,MaximumReturn,AverageReturn,MinimumReturn,TotalSamples
,-34.12051248587526,-84.80910276285698,-110.97306531594134,3332
1,-0.119360584369743,-40.7642580266741,-99.34059110211413,4998
2,-0.16800268761807768,-21.61043891326983,-68.6490010651222,6664
3,-0.03584878624320835,-0.06876374901326222,-0.12645276029502037,8330
4,-0.025689960299991307,-0.07848112406399767,-0.2076753247048116,9996
5,-0.030844146130810574,-10.598718357204762,-55.959704151862894,11662
6,-0.0361883357306936,-0.1004120455705484,-0.2982618530429745,13328
7,-0.040056670759770936,-15.067826520717674,-66.84438368449986,14994
8,-0.025810175477185036,-1.6062497714497064,-36.53732692718924,16660
9,-0.024229728799639663,-11.390142412699017,-67.94351196532821,18326
10,-49.786494866752896,-120.66654483220465,-157.99346011770317,19992
11,-0.3360805269945517,-81.90527085409022,-159.30868786594104,21658
12,-2.2967389180389706,-126.629411091275,-164.72854121629678,23324
13,-110.23352176078973,-155.81858650674587,-176.23440048117337,24990
14,-58.25243190185722,-145.50473166513564,-175.90870545341198,26656
15,-75.0394688472404,-137.96580153107058,-170.12173739871844,28322
16,-0.5992486696842924,-130.572759075391,-165.78345174658742,29988
17,-1.907566126482895,-133.2501084543536,-174.54393325821076,31654
18,-91.14148650448189,-155.13326607287206,-175.83215844616888,33320
19,-0.7674741268825543,-126.84955361381031,-166.73326437869892,34986
20,-106.78086710595169,-149.4096132813112,-172.6570364893195,36652
21,-22.152238129812506,-148.70453733528694,-181.10511924329114,38318
22,-61.24523494086625,-146.93912048337515,-176.19925211375602,39984
23,-39.678954153855734,-137.87041244377758,-170.01622769446408,41650
24,-1.4660092814296866,-138.0118698222719,-170.606184416207,43316
25,-43.13645606253598,-145.87212582287805,-167.53240446283993,44982
26,-7.6651664490688205,-113.67561967634322,-154.67622845807472,46648
27,-0.2464863874308483,-142.6994521779414,-168.06333034322233,48314
28,-48.707025398679605,-130.7759344426369,-165.03845339256634,49980
29,-4.509556454521396,-140.0969375595264,-164.47254212766623,51646
30,-32.878664573751216,-139.6912093646418,-160.28237239239834,53312
31,-21.992117398927927,-131.30856945179298,-155.59268096607548,54978
32,-139.79505454260143,-160.7953547102388,-170.38578360774062,56644
33,-69.2264810475066,-133.62090648501123,-165.94125871839282,58310
34,-108.95902617367065,-150.96118624391448,-168.71771625975882,59976
35,-4.523373548667535,-150.60577308868235,-184.2768678334525,61642
36,-67.85786281663711,-137.80595151650462,-181.30952174077282,63308
37,-115.3648883931898,-157.80261144151498,-178.10808181569243,64974
38,-67.30214544541522,-144.3133701273815,-184.8223739814529,66640
39,-27.35443006256833,-110.81539172851403,-177.73533801350203,68306
40,-57.842857664198775,-153.14040093815893,-184.42392388081973,69972
41,-69.05120371413393,-158.46279439848024,-186.4724591141752,71638
42,-32.45509054333163,-113.92451359564642,-166.57120594056641,73304
43,-76.97713510638818,-145.1622363422156,-178.0494447733336,74970
44,-2.4182233907857174,-52.75857943798305,-134.77903589159,76636
45,-103.48992703708193,-147.7665201766417,-170.1517903429433,78302
46,-3.26671728549456,-95.10928228068518,-169.74586447836546,79968
47,-153.6828667527665,-174.9233129197236,-189.06029950327365,81634
48,-144.33270335461458,-168.37892769516878,-178.11687035497957,83300
49,-78.60778360458079,-119.39826868404276,-146.89167500789696,84966
50,-0.7415645193446528,-65.6922733860315,-161.11552061791934,86632
51,-100.72265012987015,-169.58834571911748,-185.66489309399873,88298
52,-164.76156514660954,-183.46576601721324,-192.28159315136045,89964
53,-153.02493073540208,-185.8093559304538,-200.90347572441803,91630
54,-168.57397365051415,-190.6092242931038,-203.33773893597805,93296
55,-171.3934606591099,-192.48241231887113,-208.3025806302332,94962
56,-124.03404892548433,-180.19028903797036,-199.2018604415356,96628
57,-165.5773510140717,-190.29555773015446,-206.15309403152523,98294
58,-151.22066048700603,-182.37426272772063,-195.09493756258524,99960
59,-110.5379091829857,-184.7022535933645,-201.79193924239945,101626
60,-155.47674151222608,-180.60522250311362,-199.4617694353341,103292
61,-103.78216036550951,-153.87074195352187,-178.62459241377465,104958
62,-10.465338728091496,-106.18507500678913,-163.70059834635472,106624
63,-11.456256076070307,-75.18181513331871,-177.10015768383408,108290
64,-2.629764027822564,-75.90381632316418,-130.40229375613083,109956
65,-1.0540427104452528,-46.868923120130056,-106.13846083737549,111622
66,-73.06371551673271,-103.48709291353623,-129.74981460988698,113288
67,-81.01904293942772,-120.73318749413419,-150.87351456793306,114954
68,-77.69519047179327,-135.08157707086832,-175.22581857608816,116620
69,-48.93173420490235,-88.40009061314412,-126.58293477159661,118286
70,-1.1089404708335011,-74.89639752701522,-141.29076202080978,119952
71,-0.35354618527957166,-83.6534062854802,-157.33041881420462,121618
72,-0.3803679915245633,-63.54068936215422,-164.23544258347013,123284
73,-36.933697061934666,-102.65879849294663,-153.7275340878745,124950
74,-5.59225652648497,-82.10788999929305,-156.7607099348255,126616
75,-0.5551314961291989,-69.60178975248193,-138.02246461781112,128282
76,-1.9877037494850054,-57.214924254180076,-117.05353448180533,129948
77,-0.920367085443357,-33.87268126674726,-88.61386690100477,131614
78,-4.139992992974345,-51.03879158108477,-149.8999862484276,133280
79,-0.7787006795934669,-46.24822461454323,-100.86112845755062,134946
