Iteration,MinimumReturn,AverageReturn,MaximumReturn,TotalSamples
,113.2623322140557,162.69706913659925,199.18751799148166,6666
1,121.39305109246831,163.48978687959936,199.12258388689256,9999
2,130.5052201435125,175.15038931932528,199.15052756310791,13332
3,134.13501194648407,171.85041698347183,198.8918014081894,16665
4,119.46953878017426,179.38361686185488,199.29406739205373,19998
5,120.60422156688026,174.54556126216366,199.33865586621548,23331
6,128.89495499413422,171.21865237414923,199.3881979709264,26664
7,125.40130221210238,165.79954675528265,198.99327460287873,29997
8,122.69325010119144,176.2457461209572,199.03841609023098,33330
9,129.94485992776168,178.43090346617672,199.0809335467879,36663
10,131.35971799997566,174.13627373660077,199.19548601058366,39996
11,118.62243191292892,170.56583878447617,199.07469071079396,43329
12,122.81162382641081,169.5406978889335,199.1476641986978,46662
13,125.37234443320948,168.03204971393566,199.2202740179584,49995
14,113.28245973375982,171.53861192478934,199.2235439839885,53328
15,124.98358356629275,163.54938495470577,196.4944152969112,56661
16,123.07166192898393,171.6084360921779,199.38349706472567,59994
17,125.75770519391298,166.38609018327554,198.79939051097102,63327
18,131.03818475682004,167.69485764944497,198.62879483107542,66660
19,128.77512866074298,175.67151547754077,199.01347934978523,69993
20,128.18761393188532,162.23888639491068,197.29749393330266,73326
21,129.5426469947205,173.36726889714882,199.23075226736293,76659
22,116.9945191457301,165.52127627293302,199.06719258530643,79992
23,140.67294651693027,171.6129395708244,199.11215152194038,83325
24,126.88201582957329,168.26176739639334,199.129729242942,86658
25,120.76070119377825,167.99220936178807,199.11627014471452,89991
26,117.28498698196074,169.52264191376764,199.20774575679164,93324
27,123.09969034782024,172.01536250003434,199.1865036891562,96657
28,124.9410950625067,172.56920233494947,199.01999158463482,99990
29,120.40398712802028,170.49854351697792,198.78329126213498,103323
30,136.31628146337755,167.3230578653609,199.20026022148227,106656
31,127.90139503182566,173.73893204557157,198.9343826268015,109989
32,125.54627764211313,165.75376715363632,199.36436125569548,113322
33,132.61555301399997,164.0516231368369,199.00595862488024,116655
34,115.17565743094131,168.0658143548453,199.1384646884501,119988
35,126.89093517305649,174.3343267507229,199.21189528576951,123321
36,124.25268275980991,167.5593216225834,199.12067459757648,126654
37,121.0723678122455,171.35958080166165,199.06187526848558,129987
38,122.90165090817383,161.57258050966087,199.12048176314147,133320
39,120.244653220425,177.0765530370887,198.179973839374,136653
