TotalSamples,MaximumReturn,Iteration,AverageReturn,MinimumReturn
8018,10.087429704933898,,-7.609248522000289,-21.05244287263065
12025,23.630009572624342,1,-6.991872781019432,-27.121110031420645
16033,27.492853099338717,2,-7.9465020526465056,-26.361728136447297
20039,31.773771716504875,3,-8.38154388470449,-22.344035263747696
24040,15.925835691426276,4,-8.761966438826628,-26.490569523928688
28055,15.391284299002777,5,-8.451095325003559,-22.637442669458768
32055,21.899350548000765,6,-8.084309881414027,-25.549916217777948
36066,18.04530664467632,7,-8.923049015659947,-22.1238454501541
40078,11.404244393028774,8,-8.64231707314173,-25.591169701587383
44079,15.24127413325564,9,-8.839418013201824,-20.40911371511998
48084,6.781185060495762,10,-8.45983261142706,-23.355995488744842
52088,4.867519663068943,11,-10.892448274365256,-23.38788049372744
56093,5.917302731854691,12,-8.761323734589196,-22.50059970000907
60093,1.5822066322858634,13,-8.365142857811398,-20.73845418631973
64101,0.7137280553180583,14,-9.369547970909395,-23.191001542767705
68103,5.769811990160652,15,-8.434427285060089,-21.290110639692497
72108,2.5944052412581495,16,-7.861461338832867,-21.14173404607645
76118,4.924118108288134,17,-7.807306347771399,-17.913810907328198
80118,0.6671028005077093,18,-7.612664730161746,-19.593890854156705
84120,-0.6189038702819718,19,-7.20617761960344,-16.44597979178426
88121,2.1634646150623627,20,-7.035969929048609,-15.79752267519141
92125,3.5126204802298346,21,-7.100051360182453,-16.384344634208187
96129,-0.4221945653662551,22,-7.365009879884423,-18.354456126571314
100129,-0.9838782824683896,23,-7.120745346269931,-18.474852292169416
104133,-0.7993020332210976,24,-6.880153821651253,-14.123223198090653
108138,-1.3002873668944401,25,-7.149955777564884,-20.065804544491748
112138,2.082757414791588,26,-6.9026385732230136,-15.489684039860652
116141,-1.2906588882960526,27,-6.965301710391039,-15.204571432794225
120147,-0.8196267189437529,28,-6.920769877644912,-15.893633694588107
124147,1.988602946940748,29,-6.84462276395295,-13.919049549970017
128149,-1.016122953455243,30,-6.859980398561078,-14.425003744164874
132153,-1.6332947558842392,31,-6.9624095461953335,-14.627475677788826
136155,2.0574206302869773,32,-6.988366362039742,-15.484892931179134
