MaximumReturn,TotalSamples,AverageReturn,Iteration,MinimumReturn
-214.41294064660735,8000,-297.76867251611606,,-399.01872929718445
-111.20144492614355,12000,-269.93051139820085,1,-352.2947687163622
227.60728472944066,16000,-100.92406074961485,2,-271.92735499756213
1000.2500161021794,20000,493.13516110395744,3,75.4380542073074
280.0868303783186,24000,76.7564909514529,4,-53.240859137949904
988.812817712007,28000,276.2900464449269,5,-382.3276213329044
2010.2322465049342,32000,544.4218785893012,6,-184.43150584127324
827.8829852933766,36000,200.30687719918876,7,-366.9702250632377
1885.6436458740816,40000,384.48765432713043,8,-526.4703582671979
1733.9388338707251,44000,264.65699604828006,9,-347.7337347998938
1128.9204039844794,48000,301.39970243616,10,-370.9012269842651
582.5941348534806,52000,214.40389691613623,11,-64.85384811357311
2426.288314734676,56000,1457.7325404870883,12,647.5740263656267
2538.5671316955104,60000,571.9618059595725,13,-460.63822587750076
829.0013063048484,64000,196.40493515059066,14,-314.5185054410986
2951.08037226088,68000,2063.730886099105,15,672.6028948674564
3103.2494306034864,72000,1991.337310158986,16,858.8004171654492
2983.740547344687,76000,2024.8645169840167,17,628.2382370319644
2907.1985767162846,80000,1212.9220377017348,18,-51.60765636047631
3509.605434460735,84000,2762.3202489723467,19,761.4124551668086
3603.9910934497916,88000,2046.435873986806,20,265.2187950219028
3638.3787098365096,92000,2225.0660777865664,21,576.1216915846268
3588.2632468369793,96000,2968.98443939414,22,2068.568697230975
3686.2161079146645,100000,2548.9956106746217,23,1034.5440277925234
3931.5543630665748,104000,3065.4784861752682,24,1328.6110147481838
3689.8239721134887,108000,2433.492935198932,25,640.233880434397
4022.082626549426,112000,2360.588135266313,26,362.1775203571491
3661.94738762026,116000,2361.903416662809,27,720.9838628182221
3974.5795257562604,120000,2680.4532622620623,28,482.83111997066976
3393.1403593493897,124000,1749.0800831436209,29,187.45632052616963
3900.0179313949347,128000,3243.7960606509364,30,2080.183489745912
3702.285346585441,132000,2580.7562781851757,31,298.1860947959851
4084.1569390774225,136000,3425.943359407133,32,1165.534818848945
