TotalSamples,AverageReturn,MinimumReturn,Iteration,MaximumReturn
8000,-313.2404595757871,-412.3738058063207,,-252.40821182708237
12000,123.23535200073063,-295.3603474097166,1,426.689202647059
16000,-78.19110613427007,-404.96956710505725,2,324.52540335141623
20000,35.7527950814869,-335.7320764349551,3,360.5699405710214
24000,899.7235926335217,121.34553475424734,4,1451.7097598130183
28000,1494.1607956582445,812.0945123072562,5,1738.4877886789213
32000,771.5945186963137,-551.8412885354712,6,1298.1172034053513
36000,1758.3797517645064,623.0453279671634,7,2133.4490534866686
40000,1637.5381225788744,327.7207557737567,8,2423.7288880196993
44000,1494.0666523618409,-201.4013868650255,9,2444.007075611103
48000,2148.926719920177,1953.8763299682498,10,2335.5574156737107
52000,2331.3646072642923,2162.679731860566,11,2393.8040965222663
56000,2169.8231160740347,1264.2976888194073,12,2492.761290719303
60000,1785.6287904871526,-439.04400917207425,13,2407.422863229913
64000,2145.6941861442324,328.230106514956,14,2606.6243893994406
68000,2770.0576026531908,2646.634236826752,15,3043.7224873643977
72000,2487.0971254367564,886.2565225271981,16,2962.4093271265547
76000,2520.0400355931065,306.391764286898,17,3100.3330508904373
80000,2973.239806717775,2802.858404541079,18,3167.501672952083
84000,3049.668428483327,2952.017683252412,19,3108.303690410959
88000,3059.5587325755628,2912.655319289828,20,3218.132351387836
92000,3167.948407647236,3050.1711585386406,21,3342.3167527556693
96000,3087.475650194545,2903.049550220634,22,3304.1690226850724
100000,3202.8723053588274,2951.685425177384,23,3428.8857116315535
104000,2672.6070273404403,337.9431099501909,24,3387.6540687792367
108000,3296.9665190494993,3089.83336780081,25,3479.4905529510643
112000,3166.4852003520846,2975.646886717897,26,3276.862465645848
116000,3085.048271843972,2545.913057396113,27,3410.046243741569
120000,3068.800423411105,2418.2017512310113,28,3381.8259862473487
124000,3253.4537468472604,3162.8287744963204,29,3366.2376567017086
128000,3326.4834709061706,3077.9249849025077,30,3589.313267974169
132000,3189.5676565348185,2977.496550857421,31,3453.086134123485
136000,3320.8816941535874,3097.0926550880768,32,3676.3937982876187
