AverageReturn,TotalSamples,Iteration,MaximumReturn,MinimumReturn
-0.04844547644725449,3332,,-0.023193662049304082,-0.07777635894302978
-0.0013714305667800193,4998,1,-0.0010956378002053753,-0.0017489825331400994
-0.0009242104652420347,6664,2,-0.0006548184586415653,-0.0012228705346197446
-0.0010431998706954518,8330,3,-0.0007152022460649228,-0.0013005179270248397
-0.0020721478363154937,9996,4,-0.0011571074931924104,-0.0029052176632873095
-0.0010323393215128664,11662,5,-0.000709941189116264,-0.001282841595698496
-0.0013514678582895099,13328,6,-0.0008672679295969277,-0.002256953938242814
-0.001324063617822127,14994,7,-0.0008638414183918973,-0.0020487261672746363
-0.0015045380269556256,16660,8,-0.0007645314213191439,-0.0034305215939945005
-0.001337672346264346,18326,9,-0.0008211346937932632,-0.0023928423414582727
-0.0018148966388354852,19992,10,-0.001017943796816156,-0.003112275317575403
-0.001537672600970458,21658,11,-0.0007813147405733553,-0.002674103709162977
-0.001574091927444337,23324,12,-0.000778965821506023,-0.0027187276223462208
-0.0011051673524252183,24990,13,-0.000771019034481115,-0.0018831137191042573
-0.0014743346614422273,26656,14,-0.0008869138635076909,-0.002908771635399405
-0.0011082644516714484,28322,15,-0.0006702326946436436,-0.0019362566531299999
-0.00105895029144612,29988,16,-0.0007356951053741359,-0.0015212107642301458
-0.0011871835076639502,31654,17,-0.00079541347289953,-0.0020380033849511895
-0.0011446465886153989,33320,18,-0.0006657909294333234,-0.001755494788029372
-0.0012036216146051706,34986,19,-0.0007276081557582121,-0.0021378302449463374
-0.0011781428721176408,36652,20,-0.0006935703146918629,-0.0021151972483482604
-0.0011031885768932586,38318,21,-0.0008016362906265393,-0.0015261500087758206
-0.0010537901494919032,39984,22,-0.0008218133873002395,-0.0014745672150335964
-0.0011973210630882207,41650,23,-0.000759296716797588,-0.001824290370795435
-0.0013846900342444888,43316,24,-0.0008534367004358356,-0.0027106126892280087
-0.0011666253835190903,44982,25,-0.0008751570092938327,-0.0019301593623149392
-0.0010775516292792552,46648,26,-0.0007978180865172035,-0.0017043700348061597
-0.0010349249470636202,48314,27,-0.0006096449507320874,-0.001637093016003634
-0.0012035068340019578,49980,28,-0.0008733734238423187,-0.0017584874324393523
-0.0012827492019131077,51646,29,-0.000805899986573859,-0.0021780554594330206
-0.0010626116571868687,53312,30,-0.0007095493128784807,-0.001526274423916655
-0.0010436748586682189,54978,31,-0.0006578436415647645,-0.001526097299401348
-0.0011344382976957155,56644,32,-0.0007562978372553033,-0.0016264604254867356
-0.0011861936963041759,58310,33,-0.00087172416250189,-0.0017893327470476475
-0.0011126657112607156,59976,34,-0.0007960845650846301,-0.0018457725706112619
-0.001063799199353098,61642,35,-0.0006411778655058102,-0.0013120981902401923
-0.0010462684749493396,63308,36,-0.0007848011439463663,-0.0013434134941885249
-0.0012465345826949213,64974,37,-0.0008138229922766841,-0.002370730378754087
-0.001000563902063154,66640,38,-0.00064302212255932,-0.001361156593389229
-0.0012197849014333201,68306,39,-0.0008997014141080491,-0.002011577138513664
-0.0012457026236967323,69972,40,-0.0008197015947315993,-0.0018083272402434948
-0.0011319058814438232,71638,41,-0.0007997064136851689,-0.001647345739696041
-0.0010818212984004324,73304,42,-0.0007177122448552314,-0.0016537059183375537
-0.0011048800802533653,74970,43,-0.0007785292419071212,-0.0019520576616168044
-0.0010667054686022864,76636,44,-0.0007481683746926604,-0.0016776129590692053
-0.0010818287435849791,78302,45,-0.0007297578316650463,-0.0017173206631150599
-0.0009833976503417924,79968,46,-0.0006230570001443472,-0.0014663271973425864
-0.0010598266475588458,81634,47,-0.000790132005584341,-0.0015693640811194134
-0.001079568981511774,83300,48,-0.0007343773161195549,-0.0015302955131262586
-0.001008185346437018,84966,49,-0.0006290389275010027,-0.001420047077176071
-0.0010611400847066388,86632,50,-0.0007230413087543189,-0.0015508201042003778
-0.0010339571224527069,88298,51,-0.0007432540197640152,-0.0014961406683648784
-0.0010282675364915988,89964,52,-0.0007518093051947975,-0.0015215927689854706
-0.0011359730923359151,91630,53,-0.0007683417242902362,-0.001525798394256827
-0.00100324277125456,93296,54,-0.0006460649987107904,-0.001334949423170716
-0.0010203607071842668,94962,55,-0.0006453545287160449,-0.0014183166232365854
-0.0009674085626975261,96628,56,-0.0007350135031325249,-0.0011912835151291752
-0.001130940346991264,98294,57,-0.0007829965567696423,-0.0016174500741947674
-0.0010764188773403022,99960,58,-0.0005353303391712391,-0.001794814692466614
-0.001180140672143898,101626,59,-0.0007871751169754829,-0.002085903720920378
-0.0010806139123784896,103292,60,-0.0007299885675213401,-0.001490967779445081
-0.001257997495785674,104958,61,-0.0007346076916443157,-0.0019145396578082235
-0.0011171582568204723,106624,62,-0.0006604934627409741,-0.0016447708903792472
-0.0011445749066242119,108290,63,-0.0008608913451263314,-0.001882059065984179
-0.0011618765426073979,109956,64,-0.0007492246972668416,-0.0019656198298557376
-0.0010658466013470213,111622,65,-0.0006293696955012274,-0.0014945592796620818
-0.0011014114300685594,113288,66,-0.0007843297611269589,-0.0016190224935464844
-0.0009989058527198112,114954,67,-0.0007626627687798307,-0.0012547905176581685
-0.0011800647219438933,116620,68,-0.000696026948813567,-0.0019949092626875657
-0.001035402106704258,118286,69,-0.0006345745371248514,-0.0014431805789033912
-0.0011180027850492432,119952,70,-0.0008748113120958953,-0.0015901164706732054
-0.001060446942991442,121618,71,-0.0007085172373135965,-0.0014728240501790685
-0.0011003493467706357,123284,72,-0.0007933753635772185,-0.0013792921935850088
-0.0011382599380501805,124950,73,-0.0007698743605562009,-0.0018829841816920697
-0.001044990942204838,126616,74,-0.0007249860464331055,-0.001424199357062601
-0.0011132722111341488,128282,75,-0.0008093354423927407,-0.0020266863587698096
-0.001096355839400031,129948,76,-0.0008170507144917386,-0.0016719970062673262
-0.0010654437659466745,131614,77,-0.0007808285041982641,-0.0015215299491971623
-0.0010248932664879478,133280,78,-0.000670932265951696,-0.001581760787078757
-0.0010925648844051846,134946,79,-0.000732960660228871,-0.0019243698640652766
