AverageReturn,MaximumReturn,MinimumReturn,Iteration,TotalSamples
-3.3814570295966773,-0.10909263092385608,-48.08038743535927,,3332
-0.12894559073527628,-0.04776429342066071,-0.33951784129096885,1,4998
-0.055700825522586435,-0.02757586951013643,-0.07868393969107089,2,6664
-0.35648429004453985,-0.012901556958112473,-1.7761016109000896,3,8330
-0.24598005552275615,-0.021425400112493595,-2.49772548772336,4,9996
-46.2576906526341,-0.9167121180924553,-108.73359097676394,5,11662
-0.059384287887073776,-0.021105917313123067,-0.12367998339159691,6,13328
-0.10391727139627507,-0.01967585517310773,-0.734545279616299,7,14994
-0.1554674362903591,-0.05401074352729732,-0.3225684219587358,8,16660
-0.035724217819984194,-0.011258088280239283,-0.08300002263451808,9,18326
-2.9248627719047375,-0.018228036101162907,-40.214309497011406,10,19992
-7.389995800249457,-0.04215430678378117,-49.68535637475197,11,21658
-39.8325692669107,-0.04201490302305702,-79.60213390917983,12,23324
-26.724338442185008,-0.05154215297356215,-81.16450821296495,13,24990
-77.02513178821454,-0.5929784252482104,-119.27155398672802,14,26656
-43.40782723640755,-0.017630103418780685,-99.28228113296917,15,28322
-23.85485564506619,-0.037108681537666666,-86.28099407166435,16,29988
-4.463794867990949,-0.02940001613496664,-38.59625482476858,17,31654
-23.25703148419818,-0.03184289357864595,-84.87505076364222,18,33320
-1.5188498512953792,-0.017306097095124578,-25.71795487236418,19,34986
-35.03358748587457,-0.08382620017317255,-70.7866108601714,20,36652
-2.274843154758895,-0.0368835264839976,-20.426908832335208,21,38318
-138.6517138514107,-90.86464648077236,-167.89094941180227,22,39984
-147.47296927256212,-108.46026322278487,-170.23147915723086,23,41650
-115.0258396423264,-21.37571428331066,-161.08917322316904,24,43316
-7.088892344240649,-0.1393983891307048,-57.75705453330955,25,44982
-8.138340341636837,-0.09490633582254476,-101.92539726337124,26,46648
-6.505561177711549,-0.22271324160586578,-95.97010868543647,27,48314
-0.45371836810674165,-0.08902013564283995,-1.2786045017146663,28,49980
-25.600196265994686,-0.04647638573447876,-75.54354912223168,29,51646
-51.05843397005735,-0.3019748480866756,-117.71130255635767,30,53312
-19.07346454104401,-0.13941015407262877,-89.09807835749417,31,54978
-3.076299733390026,-0.15567281715371403,-36.7633264398239,32,56644
-34.10646475458271,-0.1911606457562289,-107.12922475126355,33,58310
-75.47142055473434,-0.2369335615401303,-141.95253832773216,34,59976
-13.140169478183957,-0.10204190513263853,-84.28268053756588,35,61642
-66.25052040604488,-0.7204005353617438,-177.27197510458055,36,63308
-42.50730073067442,-0.3043679391583164,-128.9459172166102,37,64974
-80.05831085707113,-0.1889384470618272,-163.6344267006069,38,66640
-2.5860205894949093,-0.30402651067869857,-9.233801405752692,39,68306
-4.513997552544245,-0.10867411596741294,-31.48041181836192,40,69972
-22.016583198474063,-0.11612102597977922,-88.80735293707298,41,71638
-7.946564176442772,-0.17923082954874003,-84.32345031506716,42,73304
-44.4655840253675,-0.320496267168946,-83.54217744308589,43,74970
-22.634560588904836,-0.17837168242915474,-83.40791707624795,44,76636
-0.6910777899747694,-0.16770720984986065,-2.359555652560855,45,78302
-0.5255796170035211,-0.1164724751958195,-1.4604414098330116,46,79968
-0.8250478804256854,-0.15368628612625557,-10.332569992783144,47,81634
-2.1666617881927412,-0.08137921208819031,-40.09851235254048,48,83300
-39.90706252592462,-0.18875441541548152,-121.21848566794885,49,84966
-64.10099607294694,-0.9184486840428041,-118.0126439068792,50,86632
-68.69623367752956,-0.776293248167135,-144.4747017130458,51,88298
-71.24607857487835,-0.7330471898413873,-134.61329603227318,52,89964
-59.97437436292058,-0.34267576194902166,-119.9705917909206,53,91630
-71.50374517717357,-0.4718742697009879,-130.17929240988755,54,93296
-47.410799077701,-0.43038262596747495,-116.4947924844313,55,94962
-74.99417750039221,-0.32505558139432345,-138.10413801476233,56,96628
-74.03802757295009,-0.6768084472539824,-148.95035404426358,57,98294
-91.19858909899422,-0.3443205742416479,-136.03743452444076,58,99960
-49.200353629801995,-0.4226343362978156,-221.5444231963514,59,101626
-77.98596797381191,-2.335079189828039,-139.37826048732532,60,103292
-104.38525893632864,-2.8889313331508513,-170.3164160413863,61,104958
-40.64120714171855,-0.3408443273223325,-132.88837374579273,62,106624
-28.577866623920517,-0.3523742630412227,-98.34417640053934,63,108290
-11.847010054964924,-0.25818912356640156,-193.96010229586304,64,109956
-10.035354323869738,-0.3165725618228834,-171.4509008643847,65,111622
-8.769725551008069,-0.2636413843692641,-141.7332777156045,66,113288
-21.525100330441415,-0.25487570919537655,-162.42485147642358,67,114954
-30.90408755675323,-0.2495775533774375,-101.26593884627935,68,116620
-30.573177656120905,-0.16952317340309705,-103.05601202650152,69,118286
-17.975969769099592,-0.2272921309740724,-80.45151086302535,70,119952
-60.87072180012134,-0.45077560969223124,-111.59111954398755,71,121618
-22.373723545317507,-0.25659957699240105,-83.04548817457936,72,123284
-3.3309291243060835,-0.17571173436139803,-36.50682945317184,73,124950
-33.64541900723601,-0.2255983286119319,-111.65082578453489,74,126616
-9.721970744208845,-0.2697893012842524,-69.91069912657545,75,128282
-11.8959696304512,-0.28895946856007704,-227.56120987302572,76,129948
-1.972093417318698,-0.3329803568571508,-19.0630153347796,77,131614
-7.370856478449139,-0.3855875221399869,-85.09609676163672,78,133280
-10.708233280487477,-0.255510713791763,-160.7788084803954,79,134946
