MinimumReturn,Iteration,AverageReturn,MaximumReturn,TotalSamples
123.44195441435902,,163.06203149943835,195.25013841202767,6666
125.67110244297832,1,172.28394367445387,198.7292578978049,9999
116.50105284638506,2,171.05581933471657,199.26182870538656,13332
121.07995353014716,3,170.3709134509897,199.07576227444028,16665
124.92170007565538,4,170.62055233484818,199.1745045060027,19998
126.041052393062,5,172.2656790104056,199.18176694368404,23331
109.48027536330277,6,171.00100196544446,199.22010137195142,26664
129.42377551084965,7,173.60559237899267,199.3139953062793,29997
116.46587166281587,8,164.41688135245357,199.25586233723257,33330
118.22121352582141,9,158.81792525148424,198.44048541432664,36663
127.24134883118587,10,173.682063622611,199.19246803177808,39996
126.24080545542246,11,170.64595608903545,199.30087386202885,43329
137.32751811817374,12,179.6312104908254,199.21537046546877,46662
126.19221696359944,13,175.87431399622722,199.29709406835326,49995
127.61143917482856,14,169.10638438974325,199.28922269994592,53328
122.93984330040995,15,177.56810736389576,198.92147241790946,56661
128.42073263675275,16,178.48101185896783,198.78353077516223,59994
125.98885438146353,17,165.68333686953164,199.19293903485092,63327
126.3327073666738,18,178.87913007348817,199.1421351084804,66660
131.78938497536808,19,172.19629289669263,198.36223841867027,69993
132.297273326617,20,171.93678864700541,199.23551156185675,73326
128.3706935166316,21,169.543335440747,198.97865772642828,76659
112.57884762576663,22,165.81628870412385,199.3176786538562,79992
119.05748359623615,23,179.5212390478923,199.20969295610237,83325
135.7277568005772,24,183.6585713752968,199.09747227814935,86658
123.90170430582384,25,174.89016623373,199.16225068275676,89991
130.45465673833166,26,174.48538088732212,198.56680741400012,93324
121.5842542723788,27,173.6511617632593,199.0310698370428,96657
113.54470195444341,28,162.69829382481302,198.2185528717868,99990
124.3241014680644,29,166.81421275089434,198.97617638162836,103323
128.8515318342853,30,178.12034762281527,199.10042507385626,106656
126.89986960838482,31,168.48853445174296,197.89851220371037,109989
123.75818457981813,32,176.17399329808362,198.84488739530767,113322
124.37625161691308,33,171.26502303413875,199.26077351209506,116655
116.65649718590949,34,168.24630838440183,199.23250288710284,119988
117.46850169125673,35,165.08663958359728,199.1796357544171,123321
116.99207690241894,36,176.12092313413052,198.81173616243493,126654
146.9137710608131,37,177.20258640472304,198.9178594363445,129987
134.41422897159566,38,175.05252687309698,198.16273935021454,133320
121.05813299212315,39,167.0121664430764,198.8525377281724,136653
