TotalSamples,MaximumReturn,MinimumReturn,AverageReturn,Iteration
8000,44.28252112497941,31.970210448218314,39.244644711217624,
12000,24.216211717385843,8.996546584742374,15.444212602012776,1
16000,60.0896787793513,39.1556540186951,50.11056369428991,2
20000,150.1463983415759,135.2617237270314,139.83374565224577,3
24000,173.1098132488834,165.36990666671616,170.19028305749256,4
28000,208.1373464969302,189.15978809615333,194.66334039842135,5
32000,182.14729167521065,168.863903882281,176.0278493613265,6
36000,178.90169264540356,155.3645719123195,169.0687886151285,7
40000,151.84108583603376,134.49964002007903,146.67965728041779,8
44000,133.58629011727524,113.44089977297789,125.5420370297373,9
48000,138.27255070139722,119.68505068549611,125.71823780714833,10
52000,129.6331135074532,119.31081411729602,125.23021422534731,11
56000,120.87102056866851,99.438942906772,109.0608801345498,12
60000,92.40658167091149,59.84681781973805,80.35148975482505,13
64000,118.65732317766484,97.36719332125914,105.76311620953872,14
68000,101.53167460578376,86.37165044312106,95.42346938032483,15
72000,110.31030115328333,105.10585238050184,108.6555335031958,16
76000,130.4339341364789,122.74545238415955,126.28199377471982,17
80000,113.85610695630724,91.01324628077737,104.51855687560844,18
84000,104.24504153311372,81.66768785744257,94.1041024679051,19
88000,93.04236086562557,84.82052959407842,87.69216207717419,20
92000,111.0615708586464,94.66092934516682,101.5327074685839,21
96000,90.84054184437996,78.750848774073,83.98506896056686,22
100000,104.71017642612314,84.42232032074259,92.61670144188001,23
104000,113.04649624224629,104.03285472655884,107.83394450591292,24
108000,74.14727045107225,41.44893915543538,59.84772775506452,25
112000,108.35549407206197,94.7174728339055,102.10429928296246,26
116000,107.13333677853471,89.27636726959722,97.78874227870455,27
120000,101.46258285187174,88.69768256321355,94.66505004454973,28
124000,113.97071404896789,97.79069731703657,104.06759601376363,29
128000,102.34645299958974,76.73337809930933,90.41320218381425,30
132000,106.04317651475903,94.1969101550518,99.71037305270484,31
136000,104.76522813941028,90.48334827545293,97.91194724836505,32
